Start Time   Task Name   Frequency   Runtime   Energy
0            w4          1188        57          35625J
57           w2          1188        40          25000J
97           w5          1188        35          21875J
132          w3          1188        68          42500J
200          w4          1188        20          12500J
220          w4          1188        37          23125J
257          w2          1188        40          25000J
297          w3          1188        3           1875J
300          w5          1188        35          21875J
335          w3          1188        33          20625J
368          w1          1188        32          20000J
400          w4          1188        40          25000J
440          w4          1188        17          10625J
457          w2          1188        40          25000J
497          w1          1188        3           1875J
500          w3          1188        20          12500J
520          w3          1188        80          50000J
600          w4          1188        57          35625J
657          w5          1188        3           1875J
660          w2          1188        40          25000J
700          w5          1188        32          20000J
732          w3          1188        4           2500J
736          w1          1188        18          11250J
754          w1          1188        46          28750J
800          w4          1188        57          35625J
857          w1          1188        7           4375J
864          IDLE        IDLE        16          1344J
880          w2          1188        20          12500J
900          w2          1188        20          12500J
920          w5          1188        35          21875J
955          IDLE        IDLE        45          3780J
